SCUOLA_ANONIMO;CLASSE_ANONIMO;STUDENTE_ANONIMO;TIPO_SCUOLA;Grado;genere;mese;anno;luogo;regolarità;origine;luogo_padre;luogo_madre;voto_scritto_ita;voto_orale_ita;voto_scritto_mat;voto_orale_mat;codice_orario;Cod_Reg;Areageo_5;WLE_MAT_200;LIVELLI_WLE_MAT;peso_studente;peso_classe;peso_scuola;ESCS_studente
923;857;3808;1;10;1;5;4;1;1;1;1;1;5;7;6;6;2;19;5;220,7425066;4;33,121875;2,45;13,51913265;1,254786986
923;857;3809;1;10;1;7;4;1;1;1;1;1;8;8;9;8;2;19;5;247,881821;5;33,121875;2,45;13,51913265;0,51408847
923;857;4831;1;10;1;5;4;1;1;1;1;1;5;7;7;7;2;19;5;246,6597615;5;33,121875;2,45;13,51913265;0,165150711
923;857;4832;1;10;2;1;5;1;1;1;1;4;8;8;9;8;2;19;5;291,8066304;5;33,121875;2,45;13,51913265;1,257098678
923;857;4833;1;10;2;4;5;1;1;3;2;4;7;8;5;7;2;19;5;247,6553764;5;33,121875;2,45;13,51913265;-0,300451547
923;857;8689;1;10;1;7;4;1;1;1;1;1;6;8;7;7;2;19;5;228,6749204;4;33,121875;2,45;13,51913265;0,632531678
923;857;8690;1;10;1;10;4;1;1;1;1;1;7;7;6;6;2;19;5;245,9941506;5;33,121875;2,45;13,51913265;-1,061248413
923;857;9452;1;10;2;5;4;1;1;1;1;2;7;8;7;7;2;19;5;219,421266;4;33,121875;2,45;13,51913265;0,635109862
923;857;10008;1;10;1;8;4;1;1;1;1;1;7;8;6;7;2;19;5;219,6135669;4;33,121875;2,45;13,51913265;-0,439259597
923;857;10874;1;10;2;12;4;1;1;1;2;1;8;8;6;8;2;19;5;239,3839363;5;33,121875;2,45;13,51913265;1,138388978
923;857;11567;1;10;1;5;4;1;1;1;1;1;8;8;8;8;2;19;5;247,6553764;5;33,121875;2,45;13,51913265;0,321537269
923;857;12237;1;10;2;4;5;1;1;1;1;1;6;6;4;6;2;19;5;205,6479425;3;33,121875;2,45;13,51913265;0,044129319
923;857;12238;1;10;2;4;5;1;1;1;1;1;5;7;5;6;2;19;5;200,4025793;3;33,121875;2,45;13,51913265;-0,128265189
923;857;14705;1;10;2;8;4;1;1;1;1;1;6;8;8;8;2;19;5;256,1449876;5;33,121875;2,45;13,51913265;-0,439259597
923;857;14706;1;10;2;5;4;1;1;1;1;1;4;3;3;4;2;19;5;165,2162028;2;33,121875;2,45;13,51913265;0,182729219
732;470;440;3;10;2;12;4;1;1;1;1;1;0;7;0;8;3;11;3;210,9321945;3;22,33838384;4,757575758;4,695329087; 
732;470;932;3;10;2;10;4;1;1;1;1;1;0;6;0;6;3;11;3;181,0509499;2;22,33838384;4,757575758;4,695329087;-0,611445955
732;470;2573;3;10;1;9;4;1;1;1;1;1;0;7;0;7;3;11;3;239,8970924;5;22,33838384;4,757575758;4,695329087;-0,750254005
732;470;4904;3;10;1;9;4;1;1;1;1;2;0;6;0;4;3;11;3;193,9780383;3;22,33838384;4,757575758;4,695329087;0,63279817
732;470;5552;3;10;1;10;4;1;1;1;1;1;0;6;0;5;3;11;3;202,7308436;3;22,33838384;4,757575758;4,695329087;-0,887504697
732;470;5853;3;10;2;9;4;1;1;1;1;1;0;6;0;5;3;11;3;199,4530651;3;22,33838384;4,757575758;4,695329087;-0,887504697
732;470;6434;3;10;2;9;4;1;1;1;1;1;0;6;0;6;3;11;3;176,966148;2;22,33838384;4,757575758;4,695329087;0,65268837
732;470;6584;3;10;1;2;4;1;1;1;1;3;0;5;0;4;3;11;3;219,7354328;4;22,33838384;4,757575758;4,695329087;-1,030124139
732;470;8364;3;10;2;11;4;1;1;3;3;4;0;8;0;9;3;11;3;179,5706499;2;22,33838384;4,757575758;4,695329087;-0,097140914
732;470;8365;3;10;2;11;4;1;1;1;1;1;0;7;0;9;3;11;3;193,0239159;3;22,33838384;4,757575758;4,695329087;0,030699553
732;470;8953;3;10;1;1;5;1;1;1;1;1;0;6;0;5;3;11;3;185,9795828;2;22,33838384;4,757575758;4,695329087;0,686124336
732;470;8954;3;10;1;9;4;2;1;2;2;2;0;6;0;7;3;11;3;229,5276952;4;22,33838384;4,757575758;4,695329087;0,213853494
732;470;10592;3;10;1;5;4;1;1;1;1;1;0;6;0;5;3;11;3;137,3432127;1;22,33838384;4,757575758;4,695329087; 
732;470;12115;3;10;2;7;4;1;1;1;1;1;0;8;0;6;3;11;3;223,9634096;4;22,33838384;4,757575758;4,695329087;0,182729219
732;470;12994;3;10;2;6;4;1;1;1;1;1;0;7;0;6;3;11;3;206,4922634;3;22,33838384;4,757575758;4,695329087;-0,924752055
732;470;14487;3;10;2;9;4;1;1;1;1;1;0;7;0;6;3;11;3;190,3932332;3;22,33838384;4,757575758;4,695329087;-0,578821981
732;470;16918;3;10;1;10;3;1;3;3;4;4;0;6;0;6;3;11;3;206,0299046;3;22,33838384;4,757575758;4,695329087;0,963682778
732;470;16924;3;10;2;12;3;1;3;3;2;2;0;9;0;9;3;11;3;263,05831;5;22,33838384;4,757575758;4,695329087;-0,300451547
732;470;16927;3;10;1;8;3;1;3;1;1;1;0;8;0;7;3;11;3;222,9720492;4;22,33838384;4,757575758;4,695329087;1,100445628
732;470;19186;3;10;2;11;2;1;3;3;4;4;0;6;0;5;3;11;3;175,5736019;2;22,33838384;4,757575758;4,695329087;-1,778809172
732;471;2444;3;10;2;2;4;1;1;1;1;1;0;9;0;6;3;11;3;140,3616044;1;22,33838384;4,757575758;4,695329087;0,98404762
732;471;2628;3;10;2;3;4;1;1;1;1;1;0;9;0;7;3;11;3;206,4922634;3;22,33838384;4,757575758;4,695329087;0,044129319
732;471;3054;3;10;2;4;4;1;1;1;1;1;0;8;0;5;3;11;3;156,1793469;1;22,33838384;4,757575758;4,695329087;-1,242415047
732;471;3055;3;10;2;2;4;1;1;1;1;1;0;9;0;8;3;11;3;209,9338948;3;22,33838384;4,757575758;4,695329087;0,356472935
732;471;3956;3;10;2;8;4;1;1;1;1;1;0;8;0;5;3;11;3;202,7308436;3;22,33838384;4,757575758;4,695329087;-0,720072794
732;471;5326;3;10;2;2;4;1;1;1;1;1;0;8;0;5;3;11;3;197,3919482;3;22,33838384;4,757575758;4,695329087;-1,191400573
732;471;6430;3;10;2;12;4;1;1;1;1;1;0;8;0;5;3;11;3;194,2332903;3;22,33838384;4,757575758;4,695329087;-0,145843697
732;471;8952;3;10;2;3;4;1;1;1;1;1;0;8;0;5;3;11;3;191,5243917;3;22,33838384;4,757575758;4,695329087;-0,439259597
732;471;13472;3;10;2;6;4;1;1;1;1;1;0;9;0;6;3;11;3;162,9194804;1;22,33838384;4,757575758;4,695329087; 
732;471;16925;3;10;2;5;3;1;3;1;1;1;0;8;0;5;3;11;3;256,3636976;5;22,33838384;4,757575758;4,695329087;0,669779036
732;471;16926;3;10;2;5;3;1;3;1;1;1;0;9;0;7;3;11;3;206,119047;3;22,33838384;4,757575758;4,695329087;0,013121045
732;471;16929;3;10;2;3;3;1;3;1;1;1;0;9;0;6;3;11;3;179,3735001;2;22,33838384;4,757575758;4,695329087; 
732;471;17536;3;10;2;2;4;1;1;1;1;1;0;9;0;5;3;11;3;175,4143326;2;22,33838384;4,757575758;4,695329087; 
733;472;3120;4;10;1;3;3;1;3;1;1;9;0;7;0;4;3;11;3;158,0065236;1;22,64655172;5,724137931;3,956325301;1,572449978
733;472;3375;4;10;1;11;4;1;1;1;1;1;0;8;0;8;3;11;3;155,4461966;1;22,64655172;5,724137931;3,956325301;0,515437677
733;472;3393;4;10;1;10;3;4;3;2;4;4;0;6;0;7;3;11;3;134,3218958;1;22,64655172;5,724137931;3,956325301;-1,342061611
733;472;7127;4;10;2;2;3;4;3;2;4;4;0;7;0;6;3;11;3;120,4148628;1;22,64655172;5,724137931;3,956325301;-0,922440363
733;472;14491;4;10;2;10;3;1;3;1;1;1;0;7;0;6;3;11;3;130,7133065;1;22,64655172;5,724137931;3,956325301; 
733;472;15647;4;10;2;3;4;1;1;1;1;1;0;8;0;7;3;11;3;173,6879187;2;22,64655172;5,724137931;3,956325301;-0,300451547
733;472;15648;4;10;1;9;4;1;1;1;1;1;0;6;0;5;3;11;3;158,9970944;1;22,64655172;5,724137931;3,956325301;-0,087234379
733;472;16036;4;10;2;5;4;1;1;1;1;1;0;7;0;7;3;11;3;142,5113;1;22,64655172;5,724137931;3,956325301;0,001562585
733;472;16037;4;10;1;9;4;1;1;1;1;1;0;7;0;8;3;11;3;162,1336344;1;22,64655172;5,724137931;3,956325301;1,606036436
733;472;16959;4;10;2;8;3;1;3;1;9;1;0;7;0;7;3;11;3;183,2754614;2;22,64655172;5,724137931;3,956325301;-0,559505222
733;472;17954;4;10;1;2;2;4;3;2;3;4;0;6;0;6;3;11;3;140,8079389;1;22,64655172;5,724137931;3,956325301;-1,343430239
733;473;141;4;10;1;10;2;1;3;9;9;9;0;6;0;7;3;11;3;165,7145665;2;22,64655172;5,724137931;3,956325301;-1,032435831
733;473;142;4;10;1;1;3;1;3;1;1;1;0;7;0;8;3;11;3;158,9970944;1;22,64655172;5,724137931;3,956325301;0,045478527
733;473;18216;4;10;1;5;2;1;3;1;1;4;0;6;0;6;3;11;3;146,5787585;1;22,64655172;5,724137931;3,956325301;-0,428141523
733;473;750;4;10;1;6;4;1;1;1;1;1;99;99;99;99;9;11;3;180,8958916;2;22,64655172;5,724137931;3,956325301;0,187352603
733;473;3208;4;10;2;10;4;1;1;1;1;2;0;7;0;7;3;11;3;162,2762133;1;22,64655172;5,724137931;3,956325301;-0,611445955
733;473;5274;4;10;2;1;5;1;1;1;1;1;0;8;0;9;3;11;3;178,7691789;2;22,64655172;5,724137931;3,956325301;0,010542861
733;473;5778;4;10;1;7;4;1;1;1;1;1;0;6;0;6;3;11;3;175,4143326;2;22,64655172;5,724137931;3,956325301; 
733;473;6885;4;10;1;9;4;1;1;1;1;1;0;6;0;7;3;11;3;160,1856558;1;22,64655172;5,724137931;3,956325301;0,943792578
733;473;6886;4;10;2;12;4;1;1;1;9;1;0;8;0;7;3;11;3;162,9194804;1;22,64655172;5,724137931;3,956325301; 
