SCUOLA_ANONIMO;CLASSE_ANONIMO;STUDENTE_ANONIMO;TIPO_SCUOLA;grado;genere;mese;anno;luogo;regolarità;origine;luogo_padre;luogo_madre;voto_scritto_ita;voto_orale_ita;voto_scritto_mat;voto_orale_mat;codice_orario;Cod_Reg;Areageo_5;WLE_ITA_200;LIVELLI_WLE_ITA;peso_studente;peso_classe;peso_scuola;ESCS_studente
732;470;10592;3;10;1;5;4;1;1;1;1;1;0;6;0;5;3;11;3;142,473497636263;1;22,3383838383838;4,75757575757576;4,69532908704883; 
732;470;12115;3;10;2;7;4;1;1;1;1;1;0;8;0;6;3;11;3;222,515799332687;4;22,3383838383838;4,75757575757576;4,69532908704883;,182729219360907
732;470;12993;3;10;2;9;4;1;1;3;3;3;0;5;0;7;3;11;3;152,404307182437;1;22,3383838383838;4,75757575757576;4,69532908704883;-1,0301241386041
732;470;12994;3;10;2;6;4;1;1;1;1;1;0;7;0;6;3;11;3;196,559273652833;3;22,3383838383838;4,75757575757576;4,69532908704883;-,924752055257818
732;470;14487;3;10;2;9;4;1;1;1;1;1;0;7;0;6;3;11;3;202,572526266949;3;22,3383838383838;4,75757575757576;4,69532908704883;-,578821981093893
732;470;16918;3;10;1;10;3;1;3;3;4;4;0;6;0;6;3;11;3;205,884363673659;3;22,3383838383838;4,75757575757576;4,69532908704883;,963682777765102
732;470;16924;3;10;2;12;3;1;3;3;2;2;0;9;0;9;3;11;3;248,462031531713;5;22,3383838383838;4,75757575757576;4,69532908704883;-,30045154693672
732;470;16927;3;10;1;8;3;1;3;1;1;1;0;8;0;7;3;11;3;236,360855341044;4;22,3383838383838;4,75757575757576;4,69532908704883;1,10044562779299
732;471;2444;3;10;2;2;4;1;1;1;1;1;0;9;0;6;3;11;3;216,213966038929;4;22,3383838383838;4,75757575757576;4,69532908704883;,984047619952195
732;471;2628;3;10;2;3;4;1;1;1;1;1;0;9;0;7;3;11;3;248,462031531713;5;22,3383838383838;4,75757575757576;4,69532908704883;,044129319453612
732;471;3054;3;10;2;4;4;1;1;1;1;1;0;8;0;5;3;11;3;154,216960827318;2;22,3383838383838;4,75757575757576;4,69532908704883;-1,24241504741959
732;471;3055;3;10;2;2;4;1;1;1;1;1;0;9;0;8;3;11;3;200,447899459474;3;22,3383838383838;4,75757575757576;4,69532908704883;,356472935382109
732;471;3956;3;10;2;8;4;1;1;1;1;1;0;8;0;5;3;11;3;146,646096399631;1;22,3383838383838;4,75757575757576;4,69532908704883;-,720072794374834
732;471;5326;3;10;2;2;4;1;1;1;1;1;0;8;0;5;3;11;3;200,018941410431;3;22,3383838383838;4,75757575757576;4,69532908704883;-1,19140057270978
732;471;6430;3;10;2;12;4;1;1;1;1;1;0;8;0;5;3;11;3;191,406437701878;3;22,3383838383838;4,75757575757576;4,69532908704883;-,145843696837911
732;471;8952;3;10;2;3;4;1;1;1;1;1;0;8;0;5;3;11;3;142,279867858812;1;22,3383838383838;4,75757575757576;4,69532908704883;-,4392595969489
732;471;13472;3;10;2;6;4;1;1;1;1;1;0;9;0;6;3;11;3;118,60884868592;1;22,3383838383838;4,75757575757576;4,69532908704883; 
732;471;16925;3;10;2;5;3;1;3;1;1;1;0;8;0;5;3;11;3;230,156530936104;4;22,3383838383838;4,75757575757576;4,69532908704883;,669779035548303
732;471;16926;3;10;2;5;3;1;3;1;1;1;0;9;0;7;3;11;3;170,642151554452;2;22,3383838383838;4,75757575757576;4,69532908704883;,0131210452564771
732;471;16929;3;10;2;3;3;1;3;1;1;1;0;9;0;6;3;11;3;181,450899067865;2;22,3383838383838;4,75757575757576;4,69532908704883; 
732;471;17536;3;10;2;2;4;1;1;1;1;1;0;9;0;5;3;11;3;167,409975163374;2;22,3383838383838;4,75757575757576;4,69532908704883; 
733;472;3120;4;10;1;3;3;1;3;1;1;9;0;7;0;4;3;11;3;155,347877248867;2;21,8916666666667;5,53333333333333;3,95632530120482;1,57244997802657
733;472;3375;4;10;1;11;4;1;1;1;1;1;0;8;0;8;3;11;3;200,018941410431;3;21,8916666666667;5,53333333333333;3,95632530120482;,515437677476497
733;472;3393;4;10;1;10;3;4;3;2;4;4;0;6;0;7;3;11;3;83,7469905467569;1;21,8916666666667;5,53333333333333;3,95632530120482;-1,34206161068464
733;472;7127;4;10;2;2;3;4;3;2;4;4;0;7;0;6;3;11;3;136,98281669981;1;21,8916666666667;5,53333333333333;3,95632530120482;-,922440363246527
733;472;14491;4;10;2;10;3;1;3;1;1;1;0;7;0;6;3;11;3;125,125891338731;1;21,8916666666667;5,53333333333333;3,95632530120482; 
733;472;15647;4;10;2;3;4;1;1;1;1;1;0;8;0;7;3;11;3;217,850365022845;4;21,8916666666667;5,53333333333333;3,95632530120482;-,30045154693672
