SCUOLA_ANONIMO;CLASSE_ANONIMO;STUDENTE_ANONIMO;grado;genere;mese;anno;luogo;regolarità;origine;eta;codice_orario;freq_asilo_nido;freq_scuola_materna;luogo_padre;titolo_padre;prof_padre;luogo_madre;titolo_madre;prof_madre;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;B1;B2;pu_it_gr;pu_it_perc;part_1_gr;part_1_perc;part_2_gr;part_2_perc;WLE_ITA_200;peso_studente;peso_classe;peso_scuola;Cod_Reg;Areageo_5
3;6;919;2;1;1;4;1;1;1;77;4;1;1;1;4;6;1;4;5;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;6;37,5;5;35,7142857142857;1;50;137,347269234437;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;6;7305;2;1;12;4;1;1;1;77;4;1;1;1;7;5;4;9;7;1;1;1;0;1;1;0;1;0;1;0;1;1;0;1;0;10;62,5;9;64,2857142857143;1;50;178,289782278311;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;6;13722;2;1;6;4;1;1;1;77;4;2;1;1;4;8;1;4;6;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;1;8;50;7;50;1;50;179,500962926581;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;6;7128;2;1;8;4;1;1;1;77;4;1;1;1;2;8;1;4;7;0;0;1;1;0;1;0;0;1;0;0;1;1;1;0;1;8;50;7;50;1;50;184,632609668887;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;6;11124;2;2;10;4;1;1;1;77;4;2;1;1;2;8;1;4;7;1;1;0;0;1;1;0;0;0;0;0;1;1;0;1;1;8;50;6;42,8571428571429;2;100;184,632609668887;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;6;11126;2;1;11;4;1;1;1;77;4;2;1;1;4;7;1;7;7;1;1;1;1;1;0;0;1;1;0;0;1;1;1;1;0;11;68,75;10;71,4285714285714;1;50;189,276121735284;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;6;13846;2;2;5;4;1;1;1;77;4;2;1;1;2;5;1;4;5;1;1;0;1;1;1;1;1;1;1;0;1;0;0;1;0;11;68,75;10;71,4285714285714;1;50;189,276121735284;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;6;5849;2;1;12;4;1;1;1;77;4;2;1;1;4;8;1;5;7;1;1;0;1;0;1;0;0;0;1;0;1;1;0;0;0;7;43,75;7;50;0;0;200,439493936962;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;6;14605;2;1;6;4;1;1;1;77;4;1;1;1;2;6;1;4;6;1;1;0;1;1;1;1;1;0;1;1;1;0;0;1;0;11;68,75;10;71,4285714285714;1;50;200,439493936962;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;6;1699;2;2;4;4;1;1;1;77;4;2;1;1;2;6;1;2;7;1;1;1;0;1;1;1;1;1;1;0;1;0;0;1;1;12;75;10;71,4285714285714;2;100;201,252987619882;24,6090041074973;,980769230769231;25,0915335998012;2;1
