SCUOLA_ANONIMO,CLASSE_ANONIMO,STUDENTE_ANONIMO,Grado,genere,anno,mese,luogo,eta,regolarità,origine,freq_asilo_nido,freq_scuola_materna,luogo_padre,titolo_padre,prof_padre,luogo_madre,titolo_madre,prof_madre,voto_scritto_ita,voto_orale_ita,voto_scritto_mat,voto_orale_mat,voto_scritto_eng,voto_orale_eng,codice_orario,Cod_Reg,Areageo_5,WLE_ITA_200,LIVELLI_WLE_ITA,peso_studente,peso_classe,peso_scuola,ESCS_classe,ESCS_studente
80,15,3633,8,2,3,5,1,88,1,1,1,1,1,3,6,1,4,7,0,7,0,7,0,8,1,1,1,215.156173770726,4,11.2058823529412,2.41176470588235,4.64634146341464,.547412336119724,.300021283091167
80,15,3634,8,2,3,6,1,88,1,1,2,1,1,9,5,1,10,5,0,8,0,7,0,7,1,1,1,217.72987054248,4,11.2058823529412,2.41176470588235,4.64634146341464,.547412336119724,1.69996342384489
80,15,3635,8,1,3,6,1,88,1,1,2,1,1,2,8,1,2,2,0,6,0,7,0,8,1,1,1,154.63605073351,1,11.2058823529412,2.41176470588235,4.64634146341464,.547412336119724, 
80,15,3636,8,1,3,4,1,88,1,1,1,1,1,4,99,4,99,5,0,9,0,10,0,9,1,1,1,248.203959546872,5,11.2058823529412,2.41176470588235,4.64634146341464,.547412336119724,1.59855956865684
80,15,3637,8,2,3,12,1,88,1,1,2,1,1,6,5,1,4,5,0,7,0,5,0,7,1,1,1,197.696847883919,3,11.2058823529412,2.41176470588235,4.64634146341464,.547412336119724,1.22463177075372
80,15,3638,8,2,3,7,1,88,1,1,2,1,1,4,99,1,4,7,0,8,0,7,0,8,1,1,1,235.387222112981,4,11.2058823529412,2.41176470588235,4.64634146341464,.547412336119724,-.014926944607535
80,15,3639,8,1,3,4,1,88,1,1,1,1,9,99,99,1,2,5,0,6,0,5,0,5,1,1,1,186.223210868742,3,11.2058823529412,2.41176470588235,4.64634146341464,.547412336119724, 
80,15,3640,8,1,3,12,1,88,1,1,2,1,1,99,99,1,99,99,0,6,0,7,0,7,1,1,1,173.032778292153,2,11.2058823529412,2.41176470588235,4.64634146341464,.547412336119724, 
80,15,3641,8,2,3,2,1,88,1,1,2,1,1,4,5,1,4,2,0,9,0,9,0,9,1,1,1,286.746024528328,5,11.2058823529412,2.41176470588235,4.64634146341464,.547412336119724,-.730982607907387
80,15,3642,8,1,3,2,1,88,1,1,1,1,1,9,7,1,9,5,0,9,0,9,0,9,1,1,1,245.186341948839,5,11.2058823529412,2.41176470588235,4.64634146341464,.547412336119724,.443718763968772
80,15,3643,8,2,3,10,1,88,1,1,1,1,1,9,99,1,9,99,0,8,0,8,0,7,1,1,1,247.14680845765,5,11.2058823529412,2.41176470588235,4.64634146341464,.547412336119724,2.65657526962803
80,15,3647,8,1,3,12,1,88,1,1,2,1,1,2,6,1,4,6,0,6,0,6,0,8,1,1,1,173.032778292153,2,11.2058823529412,2.41176470588235,4.64634146341464,.547412336119724, 
80,15,3650,8,2,3,10,1,88,1,1,1,1,1,4,6,1,7,7,0,6,0,6,0,7,1,1,1,181.218531792574,2,11.2058823529412,2.41176470588235,4.64634146341464,.547412336119724,.791816312024651
